feature,coefficient,p_value,significant,direction
post_type_ImpactStory,26.3504,0.0,True,positive
sentiment_tone_Informative,-8.7941,0.0094,True,negative
post_type_EventPromotion,-8.4115,0.0143,True,negative
post_type_ThankYou,-8.5178,0.0152,True,negative
call_to_action_type_ShareStory,7.904,0.0265,True,positive
platform_WhatsApp,7.6346,0.0298,True,positive
post_type_EducationalContent,-7.6503,0.0321,True,negative
platform_Twitter,-6.7367,0.0447,True,negative
sentiment_tone_Grateful,-6.4163,0.0708,False,negative
content_topic_EventRecap,-9.3806,0.0742,False,negative
sentiment_tone_Hopeful,-5.2527,0.1268,False,negative
content_topic_Education,-5.9761,0.1277,False,negative
platform_YouTube,6.1666,0.1422,False,positive
media_type_Text,-5.4758,0.1509,False,negative
content_topic_DonorImpact,-5.5233,0.1682,False,negative
call_to_action_type_LearnMore,4.0547,0.1701,False,positive
post_type_FundraisingAppeal,5.0027,0.1734,False,positive
content_topic_Gratitude,-4.9229,0.2493,False,negative
call_to_action_type_SignUp,3.6457,0.3122,False,positive
platform_LinkedIn,-3.6068,0.3396,False,negative
platform_TikTok,4.064,0.3494,False,positive
media_type_Photo,-2.6314,0.4376,False,negative
content_topic_Reintegration,-3.3666,0.4449,False,negative
content_topic_SafehouseLife,-2.7615,0.4821,False,negative
content_topic_CampaignLaunch,-2.9083,0.5082,False,negative
sentiment_tone_Urgent,1.3438,0.7112,False,positive
content_topic_Health,-1.3846,0.7425,False,negative
media_type_Video,-1.0037,0.7827,False,negative
media_type_Reel,1.0658,0.8044,False,positive
sentiment_tone_Emotional,0.7256,0.8363,False,positive
platform_Instagram,-0.093,0.9752,False,negative
